::1 - - [14/Sep/2025:08:24:03 +0000] "GET /api/products HTTP/1.1" 200 3367 "-" "node" reqId=FdSpX5dr userId=anonymous
::1 - - [14/Sep/2025:08:24:07 +0000] "OPTIONS /api/users/email/brobroh@gmail.com HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" reqId=nnas2-Du userId=anonymous
::1 - - [14/Sep/2025:08:24:07 +0000] "GET /api/users/email/brobroh@gmail.com HTTP/1.1" 200 72 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" reqId=GNd_kWre userId=anonymous
::1 - - [14/Sep/2025:08:24:07 +0000] "OPTIONS /api/wishlist/vv0a_dS38XlDGA-PyqazX HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" reqId=ZwlpcZ2X userId=anonymous
::1 - - [14/Sep/2025:08:24:07 +0000] "GET /api/wishlist/vv0a_dS38XlDGA-PyqazX HTTP/1.1" 200 2 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" reqId=Tzt0K-xt userId=anonymous
::1 - - [14/Sep/2025:08:24:31 +0000] "GET /api/products?filters[price][$lte]=3000&filters[rating][$gte]=0&filters[inStock][$gt]=1&filters[category][$equals]=smart-phones&sort=undefined&page=1 HTTP/1.1" 200 2 "-" "node" reqId=ZvEagYAI userId=anonymous
::1 - - [14/Sep/2025:08:24:32 +0000] "GET /api/products?filters[price][$lte]=3000&filters[rating][$gte]=0&filters[inStock][$lte]=1&filters[category][$equals]=smart-phones&sort=defaultSort&page=1 HTTP/1.1" 200 282 "-" "node" reqId=DQfaPTvw userId=anonymous
::1 - - [14/Sep/2025:08:24:32 +0000] "GET /api/products?filters[price][$lte]=3000&filters[rating][$gte]=0&filters[inStock][$lte]=1&filters[category][$equals]=smart-phones&sort=defaultSort&page=1 HTTP/1.1" 200 282 "-" "node" reqId=pxAiyu7f userId=anonymous
::1 - - [14/Sep/2025:08:24:33 +0000] "GET /api/slugs/smart-phone-demo HTTP/1.1" 200 324 "-" "node" reqId=LPuItjv7 userId=anonymous
::1 - - [14/Sep/2025:08:24:33 +0000] "GET /api/images/undefined HTTP/1.1" 200 2 "-" "node" reqId=1NbhzOil userId=anonymous
::1 - - [14/Sep/2025:08:24:33 +0000] "OPTIONS /api/users/email/brobroh@gmail.com HTTP/1.1" 204 0 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36" reqId=2kEhaDXt userId=anonymous
